Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
951,2020-06-21 17:40:54,4292743669224718067,"fraud_Haley, Jewess and Bechtelar",shopping_pos,3204.98,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927,Art therapist,1973-06-09,cdb7839b9b57c1bd8f856c3166b0e9db,1371836454,37.480372,-77.34958,0
999,2020-06-21 17:55:33,4933461930348832,fraud_Kessler Group,travel,2068.05,Richard,Carter,M,5097 Martin Ridges,Minneapolis,MN,55403,44.9673,-93.2828,1022298,Chemical engineer,1976-09-29,904e99f9a81c33371549da1ed53ac282,1371837333,44.444997,-93.515788,0
1428,2020-06-21 20:31:19,5540636818935089,fraud_Volkman-Predovic,shopping_net,2271.66,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,1985-04-04,f0c428ca5e8084b0753eca7828a74f67,1371846679,43.622853000000006,-71.020822,0
6825,2020-06-23 05:52:26,4239552724014407,"fraud_Ruecker, Beer and Collier",shopping_net,2077.77,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,8028ad999bf05960f38617ac32690ed3,1371966746,41.969647,-84.375479,0
8851,2020-06-23 18:10:43,4312133045694601139,"fraud_Streich, Dietrich and Barton",shopping_net,3344.72,Julian,Price,M,086 Pierce Cove,Pikesville,MD,21208,39.3764,-76.729,33917,Company secretary,1977-06-12,aba77952d151fa218172c73930252ac4,1372011043,38.784248,-76.905812,0
9890,2020-06-23 23:21:40,371226440126102,fraud_Stamm-Witting,shopping_net,2721.97,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,6da8e87b6db4d3b29bfb0230de42a0a4,1372029700,39.585384000000005,-88.57423100000001,0
11499,2020-06-24 20:23:32,30364087349027,"fraud_Zboncak, Rowe and Murazik",shopping_net,3396.84,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,8d4aa6dea14dd5a722155e0f0e7e7070,1372105412,36.86798,-95.716439,0
13466,2020-06-25 19:43:13,4378993458389626,fraud_Fritsch LLC,travel,6600.44,Travis,Hayes,M,1561 Chase Grove,Conway,NH,3818,43.9742,-71.1503,3807,Surgeon,1999-10-25,6ad730c17f10beeb66462e8e0bdb8651,1372189393,43.741878,-71.699656,0
13902,2020-06-25 23:51:22,375082648741747,fraud_Bashirian Group,shopping_net,4622.47,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,2b3b95424b8ed908a04d3e680a0e3d6a,1372204282,46.790234000000005,-97.028372,0
15458,2020-06-26 16:53:18,4469777115158234880,fraud_Barrows PLC,shopping_pos,3936.15,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,d16079eb11554610a9d6f00c66eb75ef,1372265598,42.74077,-70.224448,0
16268,2020-06-26 23:56:16,4755696071492,fraud_Kozey-Boehm,shopping_net,2507.89,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,1985-06-20,a7043b9307d90679e11ecf2272868864,1372290976,32.980613,-97.133892,0
17404,2020-06-27 13:44:27,371226440126102,"fraud_Quitzon, Green and Bashirian",shopping_pos,2227.37,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,b7736891a172c8f7e519ac4e6429ad3a,1372340667,38.802514,-89.52415500000001,0
17941,2020-06-27 18:08:50,3598014571045296,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,2079.2,Lisa,Clark,F,07943 Davis River,Grimesland,NC,27837,35.558,-77.2566,5903,Manufacturing systems engineer,1993-10-07,1ed1b0fa3687011be2a990a53e23424c,1372356530,34.714781,-76.81024000000001,0
18465,2020-06-27 22:24:48,60487002085,fraud_Tillman LLC,travel,2758.46,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,22b7b5b63000cf526ab433d8204207d9,1372371888,33.010465,-89.50255899999999,0
18587,2020-06-27 23:34:41,3527536963490470,fraud_Ankunding LLC,shopping_net,3640.18,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,1974-12-05,078d961374d40545d652c035d73d9ce6,1372376081,32.786044,-81.439775,0
20007,2020-06-28 12:24:51,374656033243756,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,2954.45,David,Lewis,M,1499 Michael Rue,Arlington,VA,22213,38.8954,-77.1633,207410,Mudlogger,1984-07-03,7cb77a823bd2c1c2af3a1a9d4f0b0c45,1372422291,38.885963,-76.22073,0
25419,2020-06-29 20:21:47,4716561796955522,fraud_Jast Ltd,shopping_net,2681.62,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,fffe28401431792946a3d9208b7b386d,1372537307,47.964643,-113.48368,0
25864,2020-06-29 22:28:03,213178765398315,"fraud_Ruecker, Beer and Collier",shopping_net,3632.96,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,c27e5fddb116d29b8f452a93c7d6d55f,1372544883,42.397495,-108.769871,0
30919,2020-07-01 13:36:47,3546674063249004,fraud_Morissette PLC,shopping_pos,2312.36,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,1984-07-05,6bba017aa05eaf0a239251f17481e0b1,1372685807,32.912945,-97.254773,0
33273,2020-07-02 17:36:22,4066595222529,"fraud_Reichel, Bradtke and Blanda",travel,3971.9,Jamie,Olson,F,3423 Michael Canyon Suite 276,River,KY,41254,37.8795,-82.7251,571,Quarry manager,1931-03-07,c03cd71feca5fc7959883841aeb76034,1372786582,37.054684,-82.476056,0
34957,2020-07-03 12:59:15,4642894980163,fraud_Pagac LLC,shopping_pos,4066.77,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,8dcb58b82992c27ab81a8a19ae19cfb3,1372856355,41.18622,-94.789557,0
35542,2020-07-03 18:13:00,4797297220948468262,"fraud_Hagenes, Hermann and Stroman",travel,13149.15,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,1991-03-13,3a9d71cce25e35776395ce67aefff16f,1372875180,39.43586,-87.298161,0
35983,2020-07-03 21:57:20,676372984911,"fraud_Hahn, Douglas and Schowalter",travel,6297.01,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,23697553e774de088f3021d926769196,1372888640,39.908197,-97.909893,0
36211,2020-07-03 23:52:21,3527536963490470,fraud_Ankunding LLC,shopping_net,2225.64,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,1974-12-05,01bba07ed378f1bab33c23c564b1f106,1372895541,32.591035999999995,-80.443361,0
36911,2020-07-04 08:44:07,581686439828,"fraud_Kerluke, Kertzmann and Wiza",misc_net,2451.48,Larry,House,M,911 Sabrina Trafficway,Cochranton,PA,16314,41.5205,-80.0573,5507,Retail merchandiser,1973-07-28,4ae3da594c7acd55a7dbaf6f5d68cd79,1372927447,41.86995,-80.963887,0
38245,2020-07-04 21:08:05,6011305591981276,fraud_Jerde-Hermann,travel,3348.29,Daniel,Jones,M,290 Kathryn Fall,Huntsville,AL,35803,34.6205,-86.551,190178,"Engineer, automotive",1959-06-06,6975e447ef2b91ad0a829a796478d784,1372972085,35.159915000000005,-87.208145,0
43802,2020-07-06 12:54:50,676102124465,"fraud_Eichmann, Hayes and Treutel",travel,6181.12,Natasha,Mclaughlin,F,8699 Lindsay Ford Apt. 486,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,1985-08-21,9d21b68cd5340c9571447236e85930e0,1373115290,39.396649,-123.046094,0
44313,2020-07-06 15:08:48,4646845581490336108,"fraud_Bins, Balistreri and Beatty",shopping_pos,2263.75,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25,d06504b7f43d0f06653749592de5a245,1373123328,41.390549,-73.783765,0
44314,2020-07-06 15:08:55,4319584480204988982,fraud_Tillman LLC,travel,2089.03,Kathleen,Nash,F,010 Salazar Walk,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,1960-02-01,33aa1df7a62704e8c0bb5aec52e840c7,1373123335,36.225658,-81.742977,0
44862,2020-07-06 17:30:12,3598634130286287,"fraud_Reichert, Shanahan and Hayes",shopping_net,2103.85,David,Hughes,M,707 Butler Parkways Apt. 747,Omaha,NE,68117,41.2064,-95.9953,518429,"Surveyor, land/geomatics",1995-10-10,6cebf428a95c1d3387a3ba7e68d93d1f,1373131812,41.078503000000005,-95.336993,0
47126,2020-07-07 07:31:11,372246459334925,fraud_Williamson LLC,misc_pos,2247.6,Rick,Martinez,M,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,1970-03-13,095de9d4553ff56cb259d94c338da0d1,1373182271,43.622965,-104.453617,0
48531,2020-07-07 16:02:26,377550167323848,fraud_Kessler Inc,travel,3156.96,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.23899999999999,23045,Tourist information centre manager,1958-09-02,fb5cb7f1ee3c9eb4d05c719ef877377b,1373212946,44.397434,-70.418261,0
48749,2020-07-07 17:05:38,4969856774088583,fraud_Jerde-Hermann,travel,8021.63,Jacqueline,Prince,F,27823 Andrew Underpass Suite 948,Metairie,LA,70003,29.9975,-90.2146,137067,Advertising account planner,1951-12-04,af4195efd82f60701b3759a199095b1a,1373216738,30.574686,-91.134536,0
50320,2020-07-08 03:52:07,30242921189660,"fraud_Yost, Block and Koepp",misc_pos,4800.65,Dalton,Jones,M,3304 Hernandez Run,Afton,MI,49705,45.3637,-84.4695,937,Technical brewer,1958-04-06,30485e13d6e06fc6708ababc921f199f,1373255527,45.333977,-84.08166899999999,0
51236,2020-07-08 17:10:30,4428780983793657331,"fraud_Hodkiewicz, Prohaska and Paucek",travel,2058.23,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1946-01-02,16b91eed60ceadaad357c31cc9c14852,1373303430,42.343438,-89.154775,0
55691,2020-07-10 18:00:54,30234966027947,"fraud_Ruecker, Beer and Collier",shopping_net,3160.15,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,a6e0e2830a4e71042b968c1453208c33,1373479254,44.647095,-87.71943900000001,0
57181,2020-07-11 09:44:14,6554245334757802,fraud_Botsford Ltd,shopping_pos,2261.77,Monique,Robinson,F,07712 Marcus Divide Apt. 831,Laguna Hills,CA,92637,33.615,-117.7114,45303,Sales executive,1969-12-22,42ffbc04595f10c2e1218c47d594e38d,1373535854,33.316024,-118.10961100000002,0
60466,2020-07-12 14:04:50,3589289942931264,fraud_Mohr Inc,shopping_pos,2410.93,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",1972-03-05,a5b7d2f9b85487d2748d9cf2ed25d8fd,1373637890,43.288507,-97.401459,0
63824,2020-07-13 12:11:45,6534628260579800,"fraud_Ritchie, Oberbrunner and Cremin",travel,2468.38,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,2c61688ae6de98c69439d7544fb39726,1373717505,44.485688,-73.205081,0
64917,2020-07-13 17:42:31,3533742182628021,fraud_Medhurst PLC,shopping_net,2715.47,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,5137746d68ebe951a7b71f52bc0e1494,1373737351,32.897212,-79.12315799999999,0
66817,2020-07-14 05:20:23,2291163933867244,fraud_Hickle Group,shopping_pos,3679.74,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,1968-03-19,d64d4adaac2e7cfefc5bd92acf4e4abf,1373779223,34.52738,-81.69815200000001,0
68444,2020-07-14 16:05:06,4306630852918,"fraud_Hodkiewicz, Prohaska and Paucek",travel,3113.61,Maureen,Garza,F,169 Edward Inlet,Saint Louis,MO,63131,38.6171,-90.4504,927396,Occupational hygienist,1960-03-12,574547c6193d1c6f589ab2f47a329a1e,1373817906,37.996714,-90.87814,0
70422,2020-07-15 06:16:38,4605902936394,"fraud_Ruecker, Beer and Collier",shopping_net,2183.37,Vincent,Mueller,M,79019 Taylor Cliffs,Dallas,TX,75238,32.876999999999995,-96.708,1263321,Drilling engineer,1959-06-28,a5650f47f33581c0f2a86d4268b33878,1373868998,33.485418,-97.223764,0
71204,2020-07-15 16:20:12,4048508450704760,"fraud_Haley, Jewess and Bechtelar",shopping_pos,3278.35,Cheryl,Melton,F,5053 Bell Crescent Apt. 255,Fullerton,NE,68638,41.36600000000001,-98.0054,1749,"Surveyor, mining",1973-05-07,29afc3df06a5c811fdb01daefdbfa073,1373905212,42.075935,-97.071379,0
71516,2020-07-15 19:55:55,30541100351706,fraud_Ebert-Daugherty,travel,2759.89,Derrick,George,M,575 Chapman Union,Spring,TX,77379,30.0377,-95.5326,316665,"Education officer, museum",1990-09-12,50fa215018ec44ed8a797163a12a507a,1373918155,29.655184,-95.994287,0
73804,2020-07-16 22:42:48,213156747557083,"fraud_Roob, Conn and Tremblay",shopping_pos,4537.48,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,1982-07-30,f5f57468218450e5a7ef99d7f12ba0b6,1374014568,33.953841,-117.405683,0
74589,2020-07-17 08:40:44,2256234701263057,fraud_Lesch Ltd,shopping_pos,4806.47,Christopher,Grimes,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971,Charity fundraiser,1948-04-11,18970ad9f4f69a4e85e56a630095be36,1374050444,43.643971,-72.66174699999999,0
74833,2020-07-17 11:56:00,30560609640617,fraud_Buckridge PLC,misc_pos,2642.67,Michael,Olson,M,558 Michael Estates,Luray,MO,63453,40.4931,-91.8912,519,Town planner,1966-02-13,c6876118257fe1898e00408f8e1f9b40,1374062160,40.084446,-92.551365,0
74888,2020-07-17 12:19:50,3531129874770000,fraud_Bashirian Group,shopping_net,3300.14,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,b2e89d31b12c9fed3ad9053ccdaa9057,1374063590,43.787233,-73.736109,0
75917,2020-07-17 21:06:04,4710826438164847414,fraud_Gislason Group,travel,3530.22,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964-01-04,1cc16e75c5d00f1ead3fa5b3492d60c9,1374095164,48.701068,-107.770194,0
77413,2020-07-18 14:14:57,3501509250702469,fraud_Romaguera and Sons,travel,12882.78,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,7560e4f116a9e89163bbb81881f378ef,1374156897,25.730231,-82.406225,0
78858,2020-07-19 02:39:29,4471568287204,fraud_Lynch Ltd,shopping_pos,2239.64,Dakota,Maldonado,M,369 Cochran Radial,Pelham,NC,27311,36.4899,-79.4736,3402,Insurance underwriter,1927-10-24,2afd34ecede14cc18585eca0e6093d30,1374201569,37.139338,-79.58527600000001,0
80242,2020-07-19 13:56:56,4957924165498,"fraud_Hahn, Douglas and Schowalter",travel,5186.92,Alan,Parsons,M,0547 Russell Ford Suite 574,Kirk,CO,80824,39.6171,-102.4776,207,Network engineer,1955-12-04,03e91b0b4e348a7361e223a6c45001a7,1374242216,38.647712,-102.577561,0
80786,2020-07-19 17:03:19,6506982560413523,fraud_Johnston-Casper,travel,2459.45,Alice,Kemp,F,057 Martinez Radial,Texarkana,AR,71854,33.431,-93.8765,36438,Surgeon,1985-04-15,bdf0f55569eee0827e7378ca9fdfa5fc,1374253399,33.945003,-93.762818,0
81264,2020-07-19 19:49:21,3562679455732797,"fraud_Larson, Quitzon and Spencer",travel,8508.34,Amanda,Jones,F,7320 Jennifer Forges,Queenstown,MD,21658,39.0026,-76.1424,3862,Maintenance engineer,1962-12-06,63220a5fa0baa766b9c6383d4c35773e,1374263361,39.93738,-75.933249,0
84236,2020-07-20 15:21:56,343472729187663,fraud_Hills-Witting,shopping_net,2848.31,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",1971-08-05,de83bc639bdf730f2e5bec33131012bf,1374333716,44.022005,-71.595662,0
85939,2020-07-20 23:25:24,676369110710,fraud_Corwin-Romaguera,travel,4088.92,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,7191277a24f16a575010b8650a5fa0bc,1374362724,42.122046000000005,-83.427842,0
87606,2020-07-21 12:01:13,630451534402,fraud_Ankunding-Carroll,travel,3281.71,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,35f7d6346a998e690fb0395b98d251e0,1374408073,47.11873,-86.585217,0
87794,2020-07-21 13:01:31,3598895972308782,"fraud_Ritchie, Oberbrunner and Cremin",travel,12882.33,Kenneth,Richards,M,994 Livingston Extensions Suite 918,Norwalk,OH,44857,41.2403,-82.6078,23805,Copy,1970-02-22,37396c884a1523886312a237254dd241,1374411691,40.4245,-82.47596800000001,0
89387,2020-07-21 21:14:18,5104807169438134,fraud_Kris-Padberg,shopping_pos,2083.02,Regina,Johnston,F,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08,049c04a6dd034f7ab3de3957d42dcff2,1374441258,40.297743,-72.038414,0
91834,2020-07-23 01:03:12,180069253480336,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,3887.64,William,Hunter,M,5036 Victoria Ports Suite 249,Emporium,PA,15834,41.5177,-78.2536,4533,Public affairs consultant,1969-11-01,3dc23caa350287f48cc199c8397207b4,1374541392,41.750104,-79.148202,0
91855,2020-07-23 01:25:46,180069253480336,"fraud_Roob, Conn and Tremblay",shopping_pos,2204.19,William,Hunter,M,5036 Victoria Ports Suite 249,Emporium,PA,15834,41.5177,-78.2536,4533,Public affairs consultant,1969-11-01,ffba5ffdda87610160ac283764027a75,1374542746,42.332538,-77.941187,0
